recipeName,imageUrl,description,instructions,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,time
Spicy Chorizo Gnocchi,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A hearty and flavorful gnocchi dish with spicy chorizo and mozzarella.,1. Cook gnocchi according to package instructions. 2. Sauté chorizo in a pan until crispy. 3. Mix gnocchi with chorizo, add mozzarella, and bake until bubbly.,Gnocchi,Chorizo,Mozzarella,Tomato Sauce,Olive Oil,45
Creamy Mushroom Risotto,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A rich and creamy risotto with earthy mushrooms and Parmesan.,1. Sauté mushrooms until tender. 2. Add rice and cook until slightly translucent. 3. Gradually add broth, stirring constantly until rice is creamy and cooked.,Arborio Rice,Mushrooms,Parmesan,Broth,White Wine,60
Zesty Lemon Chicken,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A bright and tangy chicken dish with a lemon glaze and fresh herbs.,1. Marinate chicken in lemon juice and herbs. 2. Bake until chicken is cooked through and glazed. 3. Serve with a side of roasted vegetables.,Chicken Breast,Lemon,Garlic,Thyme,Olive Oil,30
Hearty Beef Stew,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A comforting beef stew with tender chunks of beef and root vegetables.,1. Brown beef in a pot. 2. Add onions, carrots, and potatoes. 3. Pour in beef broth and simmer until meat and vegetables are tender.,Beef Chuck,Carrots,Potatoes,Onions,Beef Broth,120
Sweet and Sour Tofu,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A tangy and sweet tofu stir-fry with bell peppers and pineapple.,1. Sauté tofu until golden. 2. Add bell peppers and pineapple. 3. Stir in sweet and sour sauce and cook until heated through.,Tofu,Bell Peppers,Pineapple,Soy Sauce,Garlic,25
Rustic Vegetable Soup,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A hearty vegetable soup with a rich broth and a variety of fresh vegetables.,1. Sauté onions and garlic. 2. Add vegetables and broth. 3. Simmer until vegetables are tender and flavors meld.,Onions,Carrots,Celery,Garlic,Vegetable Broth,50
Classic Caesar Salad,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A traditional Caesar salad with crisp romaine and creamy dressing.,1. Toss romaine lettuce with Caesar dressing. 2. Add croutons and Parmesan cheese. 3. Serve chilled.,Romaine Lettuce,Parmesan,Croutons,Garlic,Olive Oil,20
Savory Stuffed Peppers,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,Peppers stuffed with a flavorful mixture of rice, ground beef, and spices.,1. Prepare filling with rice, beef, and spices. 2. Stuff peppers with mixture. 3. Bake until peppers are tender.,Bell Peppers,Ground Beef,Rice,Tomato Sauce,Onions,60
Delicious Fish Tacos,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,Light and fresh fish tacos topped with a tangy slaw and creamy sauce.,1. Cook fish fillets and flake. 2. Prepare slaw and sauce. 3. Assemble tacos with fish, slaw, and sauce.,Fish Fillets,Cabbage,Lime,Sour Cream,Tortillas,35
Exotic Thai Curry,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A fragrant Thai curry with a blend of aromatic spices and coconut milk.,1. Sauté curry paste until fragrant. 2. Add coconut milk and vegetables. 3. Simmer until vegetables are cooked through.,Coconut Milk,Curry Paste,Chicken Breast,Vegetables,Rice,75
Mediterranean Quinoa Salad,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,A vibrant quinoa salad with olives, feta cheese, and a lemon vinaigrette.,1. Cook quinoa and let cool. 2. Mix with olives, feta, and herbs. 3. Toss with lemon vinaigrette.,Quinoa,Feta Cheese,Olives,Cucumber,Cherry Tomatoes,25
Tuscan Garlic Chicken,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=300,272,Chicken cooked with a savory garlic sauce and Tuscan herbs.,1. Sear chicken until golden. 2. Prepare garlic sauce and pour over chicken. 3. Bake until chicken is cooked through.,Chicken Thighs,Garlic,Thyme,Parmesan,Olive Oil,50
